target,model,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test,n_samples,n_features,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std
Li-Leaching,CatBoost,0.9738074393923078,0.9294150540377627,4.17498717637536,6.757887804213272,2.8346719340769315,4.20938437936987,639,18,0.851006767893556,0.06370356863210294,9.687093694247773,2.613071475495689,5.276656664540125,1.3940138249861316
Mn-Leaching,CatBoost,0.9764397740725324,0.9012471563936061,6.762336655152257,13.852006115517282,3.3998871107008832,6.754512351618692,518,18,0.9118934350575625,0.03829279261438949,12.711567291204156,2.8934253902646763,6.426318826290741,0.9871486341640795
Ni-Leaching,CatBoost,0.9937389673682548,0.9330973702294729,3.4773726444629647,11.267281360922821,2.3875540396423522,5.3910758290753815,518,18,0.9537383150063524,0.009048417974228246,9.315502555922956,0.84998509664309,5.019284120586251,0.6137256465250941
Co-Leaching,CatBoost,0.9931101561659808,0.9381905502536194,3.6709521442214044,10.815235398783352,2.5058317062983537,5.338684492115179,518,18,0.9540997634233866,0.011841910092409967,9.27795287920453,1.1936189230160479,4.978607449342997,0.49618466178326814
